Category:,Reference,Year,Location,"Charge Storage Capacity, mC/cm^2 ","Charge Injection Capacity, mC/cm^2","Transmittance, %","Resistivity, Ohm/square","Maximum Electrode Use, days",Electrode Material,"Substrate
",GABA Sensing? (Y/N),Substrate
,"Schuhmann Jr., T.G., Zhou, T., Hong, G., Lee, J.M., Fu, T.M., Park, H.G., Lieber, C.M. Syringe-injectable Mesh Electronics for Stable Chronic Rodent Electrophysiology. J. Vis. Exp. (137), e58003, doi:10.3791/58003 (2018).",2018,"Harvard University, Cambridge, MA",,,,,,,,,
,"ZijunShao+,HeZhao+,KellyE.Dunham, QunCao,Nickolay V.Lavrik, andB.JillVenton*, Angew .Chem. Int. Ed. 2024, 63, e202405634",2024,"University of Virginia, Charlottesville, VA",,,,,,Carbon,,N,
,"Shi et al., 2024",2024,"University of Chicago, Chicago, IL",,,,,,,,,
,"Changhao Xu et al., 2024",2024,"California Institute of Technology, Pasadena, CA, USA",,,,,100,"Prussian blue (PB), nickel hexacyanoferrate (NiHCF)",,N,polyimide
,"de Oliveira Filho et al., 2023",2023,"Thuwal, Saudi Arabia",,,,,,,,N,
,"Donahue et al., 2018",2018,"Gardanne, France; Marseille, France; New York, NY, USA; Budapest, Hungary; Szeged, Hungary; Cambridge, United Kingdom",,,,,,PEDOT:PSS,,,Parylene C
,"Driscoll et al., 2024",2024,"Cambridge, MA, USA",0.8,0.3,,,,CNT yarn,,,Polymers and non-magnetic carbon-based conductors
,"Gao et al., 2015",2015,"Cambridge, Massachusetts, United States",,,,,,Silicon nanowire,,N,PEG
,"Hongyan Gao et al., 2024",2024,"Amherst, MA",,,,,,Graphene,,,SU-8
,Sensors & Actuators: B. Chemical 399 (2024) 134775,2024,"Potsdam, NY, USA",,,,,,AuNPs modified electrode,,,ITO
,"Dion Khodagholy et al., 2011",2011,"Gardanne, France",,,,,,PEDOT:PSS,,Y,Parylene C
,"Xinyan Cui, David C. Martin, 2003",2003,"Ann Arbor, MI, USA",,,,,,PEDOT,,,Neural microelectrode arrays
,Sensors & Actuators: B. Chemical 399 (2024) 134775,2024,"Potsdam, NY, USA",,,,,,AuNPs,,,ITO
,Middya et al.,,"Cambridge, UK",,,,,,PEDOT:PSS,,,Parylene C
,"Sagnik Middya et al., 2024",2024,"University of Cambridge, Cambridge, UK",,,,,,PEDOT:PSS,,,Parylene C
,"Xinyan Cui et al., 2003",2003,"The University of Michigan, Ann Arbor, MI, USA",,,,,,"Poly(3,4-ethylenedioxythiophene) (PEDOT)",,,
,"Sagnik Middya et al., 2024",2024,"University of Cambridge, Cambridge, UK",,,,,,PEDOT:PSS,,,Parylene C
,"Sagnik Middya et al., 2024",2024,"University of Cambridge, Cambridge, UK",,,,,,PEDOT:PSS,,,Parylene C
,"Momin et al., 2024",2024,"University Park, PA",90 mC/cm^2,3 mC/cm^2,,,,"poly(3,4-ethylenedioxythiophene):polystyrene sulfonate (PEDOT:PSS)",,,Polydimethylsiloxane (PDMS)
,"Kalmykov et al., 2019",2019,"Carnegie Mellon University, Pittsburgh, PA, USA",,,,,,Au,,,SU-8
,"Sanjeev Billa et al., 2024",2024,"Louisiana Tech University, Ruston, LA",,,,,,Pt UME,,Y,
,"Billa et al., 2022",2022,"Louisiana Tech University, Ruston, LA",,,,,11 days,Platinum,,Y,Silicon
,"Hong et al., 2018",2018,"Harvard University, Cambridge, Massachusetts, USA",,,,,,,,,
,"Nicolaie Moldovana et al., 2024",2024,"Louisiana Tech University, Ruston, LA",,,,300 Ohm,,Pt,,Y,Si
,Sensors & Actuators: B. Chemical 337 (2021) 129795,2021,"Louisiana Tech University, Ruston, LA, United States",,,,,,Platinum,,Y,Silicon
,"Neudorfer et al., 2020",2020,"University of Toronto, Canada",,,,,,,,,
,"Xinyan Cui, David C. Martin, b, c, *a, Macromolecular Science and Engineering Center, The University of Michigan, Ann Arbor, MI 48109, USA",2002,"The University of Michigan, Ann Arbor, MI, USA",,,,,,"Poly(3,4-ethylenedioxythiophene) (PEDOT)",,,"Poly(3,4-ethylenedioxythiophene) (PEDOT)/poly(styrenesulfonate) (PSS)"
